n.name
一包花
家麻树
宽卵叶山蚂蝗
宽叶杜香
宽叶紫萁
宽叶紫萁苗
宽叶返魂草
宽唇神香草
宽尾石韦
宽瓣红景天
宽筋藤
宽羽线蕨
宿根亚麻
寄居蟹
寄生藤
寄生黄
寄马桩
密叶天胡荽
密叶绢藓
密枝问荆
一匹绸
一匹草
一口红
一叶萩
一味药
一味药根
一年蓬
一扫光
一把伞
一把蔑
一支箭
一文钱
一枝旗
一枝蒿
一枝黄花
一柱香
一点血
一皮草
一碗水
一窝鸡
一箭球
一颗针
丁公藤
丁榔皮
丁癸草
丁癸草根
丁蛎
丁锅树叶
丁香
丁香枝
丁香树皮
丁香根
丁香油
丁香蓼
丁香蓼根
丁香露
七厘丹
七叶子
七叶莲
七星剑
七星草
七星草乌
七爪风
七角白蔹
七角风
七里明
七里香
七鳃鳗
万丈深
万丈深茎叶
万寿菊花
万年藓
万年青
万年青叶
万年青花
三七
三七叶
三七花
三出叶委陵菜
三分三
三加皮
三加花
三匹箭
三十六荡
三升米
三叉凤尾蕨
三台红花
三叶崖爬藤
三叶木蓝
三叶槭根
三叶海棠
三叶罗伞
三叶茶
三叶莲
三叶金锦香
三叶铜钱草
三对叶丹参
三尖杉
三尖杉根
三张叶
三方草
三月花
三果木皮
三枝叶
三枝枪
三棱
三棱马尾
三楞筋骨草
三楞草
三消草
三爪金龙
三爪龙
三白草
三白草根
三筒管
三羽叉蕨
三翅铁角蕨
三色堇
三花枪刀药根
三蕊草
三角叶冷水花
三角叶风毛菊
三角咪
三角泡
三角草
三轮蒿
三颗针
上天梯
上山虎
上山龙
上树咳
上石田螺
下冈哇
下山虎
下果藤
不凋木
丛枝蓼
丛毛榕根
东北卫矛
东北堇菜
东北延胡索
东北桤木
东北溲疏
东北羊角芹
东北蛔蒿
东北雷公藤
东廧子
东当归
东方荚果蕨
东方蝾螈
东紫堇
东风草
东风菜
东风螺
东风螺壳
丝带蕨
丝棉木
丝棉木叶
丝毛毛毡草
丝点地梅
丝瓜
丝瓜叶
丝瓜子
丝瓜根
丝瓜皮
丝瓜络
丝瓜花
